#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RULE_GROUP_TSK;The Seven Kingdoms;;;;;;;;;;;;;x
RULE_OPTION_ENABLED;Enabled;;;;;;;;;;;;;x
RULE_OPTION_DISABLED;Disabled;;;;;;;;;;;;;x
#### NON-DYNASTIC SUCCESSION ####;####;;;;;;;;;;;;;x
RULE_NON_DYNASTIC_SUCCESSION;§RSeven Kingdoms:§! Non-Dynastic Succession;;;;;;;;;;;;;x
RULE_NON_DYNASTIC_SUCCESSION_DISABLED_DESC;If the player has a non-dynastic heir and dies or abdicates, Game Over.;;;;;;;;;;;;;x
RULE_NON_DYNASTIC_SUCCESSION_ENABLED_DESC;If the player has a non-dynastic heir and dies or abdicates, then they will continue the game as their heir (with their heir's dynasty), avoiding Game Over. Does not apply to nomads or republics.;;;;;;;;;;;;;x
####RESOURCE SYSTEM####;####;;;;;;;;;;;;;x
RULE_RESOURCE_SYSTEM;§RSeven Kingdoms:§! Dynamic Resource System;;;;;;;;;;;;;x
RULE_RESOURCE_SYSTEM_DESC;The Dynamic Resource System assigns each province a unique resource modifier.;;;;;;;;;;;;;x
RULE_RESOURCE_SYSTEM_ENABLED_DESC;Unique resource modifiers will be assigned to every province.;;;;;;;;;;;;;x
RULE_RESOURCE_SYSTEM_DISABLED_DESC;Unique resource modifiers will not be assigned to every province.;;;;;;;;;;;;;x
#### UPRISING SYSTEM ####;;;;;;;;;;;;;;x
RULE_UPRISING_SYSTEM;§RSeven Kingdoms:§! Uprising System;;;;;;;;;;;;;x
RULE_UPRISING_SYSTEM_DESC;The Uprising system causes revolts to spawn in the Stepstones and in the lands beyond the wall when they are ruled by a foreign culture.;;;;;;;;;;;;;x
#### MISSIONARY SYSTEM ####;####;;;;;;;;;;;;;x
RULE_MISSIONARY_SYSTEM;§RSeven Kingdoms:§! Missionary System;;;;;;;;;;;;;x
RULE_MISSIONARY_SYSTEM_DESC;The MSS (Missionary System) allows for the spread of religion through missionary events.;;;;;;;;;;;;;x
RULE_MISSIONARY_SYSTEM_ENABLED;Enabled (Westeros);;;;;;;;;;;;;x
RULE_MISSIONARY_SYSTEM_VALYRIA;Enabled (+Valyria);;;;;;;;;;;;;x
RULE_MISSIONARY_SYSTEM_UNRESTRICTED;Enabled (+Essos, Iron Isles);;;;;;;;;;;;;x
#### NIGHTS WATCH SYSTEM ####;####;;;;;;;;;;;;;x
RULE_NIGHTS_WATCH_SYSTEM;§RSeven Kingdoms:§! The Night's Watch;;;;;;;;;;;;;x
RULE_NIGHTS_WATCH_SYSTEM_FULL;Full;;;;;;;;;;;;;x
RULE_NIGHTS_WATCH_SYSTEM_SIMPLE;Simple;;;;;;;;;;;;;x
RULE_NIGHTS_WATCH_SYSTEM_DESC;The events pertaining to the fuction of the Night's Watch.;;;;;;;;;;;;;x
#### CULTURE CONVERSION ####;####;;;;;;;;;;;;;x
RULE_CULTURE_CONVERSION_DISABLED_DESC;Culture conversion is disabled RS;;;;;;;;;;;;;x
#### MORE GREAT WORKS ####;;;;;;;;;;;;;;x
RULE_MORE_GREAT_WORKS;§RSeven Kingdoms:§! More Great Works;;;;;;;;;;;;;x
RULE_MORE_GREAT_WORKS_ENABLED_DESC;Great Works like the Banefort or Skyreach are enabled;;;;;;;;;;;;;x
RULE_MORE_GREAT_WORKS_DISABLED_DESC;Only major Great Works like Winterfell or the Eyrie are enabled.;;;;;;;;;;;;;x
#### CALL THE BANNERS SYSTEM ####;####;;;;;;;;;;;;;x
RULE_CALL_THE_BANNERS_SYSTEM;§RSeven Kingdoms:§! Call the Banners System;;;;;;;;;;;;;x
RULE_CALL_THE_BANNERS_SYSTEM_ENABLED_DESC;Vassal may decide to join their lieges war or to oppose him.;;;;;;;;;;;;;x
RULE_CALL_THE_BANNERS_SYSTEM_DISABLED_DESC;Vassals can not make choices upon war.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
RULE_GENRATE_SPOUSES;§RSeven Kingdoms:§! Generate Spouses;;;;;;;;;;;;;x
RULE_GENRATE_SPOUSES_DISABLED_DESC;You might end up with children without a mother on start-up. ;;;;;;;;;;;;;x
RULE_GENRATE_SPOUSES_ENABLED_DESC;Generates spouses for fathers whose children have no mother. The generated spouses then become the mother of his children. Affects female and male characters equally.;;;;;;;;;;;;;x
