#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC15998;Sometimes I look at myself in the ripples of the water, or comments are made by my friends or rivals about my strength. Sometimes I feel as if their comments ring true...;;;;;;;;;x
EVTOPTA15998;I am...;;;;;;;;;x
EVTDESC_CASE115998;I am strong!;;;;;;;;;x
EVTDESC_CASE215998;I am Fit!;;;;;;;;;x
EVTDESC_CASE315998;I think I am weak...;;;;;;;;;x
EVTDESC_CASE415998;I am average, I guess.;;;;;;;;;x
EVTDESC15999;Others have been making comments about my ward and their strength...;;;;;;;;;x
EVTOPTA15999;They are...;;;;;;;;;x
EVTDESC_CASE115999;They say they are strong for their age.;;;;;;;;;x
EVTDESC_CASE215999;They say they are unusually athletic.;;;;;;;;;x
EVTDESC_CASE315999;They claim they are a little weak...;;;;;;;;;x
EVTDESC_CASE415999;They say they are average for their age.;;;;;;;;;x
EVTOPTD_ZE_99991_TSK;More Options!;;;;;;;;;x
#
EVTDESCTSK_SWR_FEA;A player has asked to swear fealty, but is a King themselves. If you wish to take them as a vassal, you must have an Empire-tier title. To deal with this, accepting will create an Empire Tier title based on your primary title and automatically vassalise them.;;;;;;;;;x
EVTOPTATSK_SWR_FEA1;This union would be in my interest.;;;;;;;;;x
EVTOPTATSK_SWR_FEA2;I refuse!;;;;;;;;;x
#
EVTTITLE_AOPK.1;The Andal Invasion;;;;;;;;;x
EVTDESC_AOPK.1;In the Riverlands the horns sound as eleven Kings lead their hosts to war. In the North the noble house Stark continues to expand their borders and influence. In the West, the dominance of the Rock is now challenged by the emergence of new kingdoms in the Golden Hills. To the South, the Marshals and High King of the Reach continue their policy of internal squabbling whilst being raided by Andals and Dornish alike. In the Vale a young bronzeman raises his banners against the young fool of a falcon. One thing is for certain however, the final battle between the now two peoples of Westeros draws ever nearer...;;;;;;;;;x
EVTDESC_AOPK.2;For thousands of years the walls and swords of the southern lordlings have kept the tide of our people at bay. Yet their time comes to an end soon. We will scale their wall of ice, we will sack their houses of stone, we will take their women as our own. This we shall do in the coming years. We are the Free Folk, the oldest and strongest of the peoples of this accursed continent.;;;;;;;;;x 
EVTDESC_AOPK.3;With the death of Iron King Harras, a new King worthy of the seastone chair was to be elected. The Lord-Reavers and Lesser-Lords of the Kingdom of Salt and Rock met upon the plains of Orkmont to decide this royal question. Yet, none of the candidates could gain enough votes. Among them were Harrag Hoare, Victarion Harlaw, Dunstan Drumm, aand Gormond Goodbrother. All were equally capable of leading the Ironborn to many great victories, and so Harrag propsed that they should all rule as Kings, and their allies should become their vassals, and they would engage in warfare until the Drowned God chose the rightful successor of his domain, and so it was decided.... What is dead may never die, but rises again, harder and stronger.;;;;;;;;;x
EVTDESC_AOPK.4;Night gathers, and now my watch begins. It shall not end until my death. I shall take no wife, hold no lands, father no children. I shall wear no crowns and win no glory. I shall live and die at my post. I am the sword in the darkness. I am the watcher on the walls. I am the fire that burns against the cold, the light that brings the dawn, the horn that wakes the sleepers, the shield that guards the realms of men. I pledge my life and honor to the Night's Watch, for this night and all the nights to come.;;;;;;;;;x
EVTDESC_AOPK.5;The domination of the Valyrian Freehold in western Essos is ensured. The Viceroy dictates his servants from the Silver Palace of Lys, one of the grandest cities in the known world. The Freehold will never fall in our lifetimes that is for certain. Slaves from all over the world mine in the endless chasms of Valyria. Its influence can be felt as far as Blackwater Bay and beyond. All is done under the eyes and shadow of the dragon. Thousands of Valyrians flood into the western territories to begin its colonization. The wizards from the fourteen flames tell of a Golden Age that is set to begin soon for the Valyrians. Kesi undegon ia qeldlie jeda.;;;;;;;;;x
EVTOPTAOPK.0;It will be an age of bloodshed...;;;;;;;;;x
#
EVTDESC_TSK_S.6;I accept your humble request to become a Knight, go forth and serve the Seven Pointed star with honor and virtue.;;;;;;;;;x
EVTOPTA_TSK_S.6;I offer my services to the most holy Seven.;;;;;;;;;x
EVTDESC_TSK_S.7;No, you do not deserve a Knighthood.;;;;;;;;;x
EVTOPTA_TSK_S.7;Alas!;;;;;;;;;x
#
EVTDESC_A_TSK_C_DE.3;DEBUG: DUEL OPPONENT SUCCESSFULLY FLED;;;;;;;;;x
EVTDESC_B_TSK_C_DE.3;DEBUG: DUEL OPPONENT FAILED TO FLEE;;;;;;;;;x
EVTDESC_C_TSK_C_DE.3;DEBUG: DUEL OPPONENT DID NOT TRY TO FLEE;;;;;;;;;x
EVTOPT_A_TSK_C_DE.3;Dammit.;;;;;;;;;x
EVTOPT_B_TSK_C_DE.3;Let us test [From.GetHerHis] Mettle.;;;;;;;;;x
#
EVTDESC_A_TSK_C_DE.4;DEBUG: VICTORIOUS, OPPONENT KILLED;;;;;;;;;x
EVTDESC_B_TSK_C_DE.4;DEBUG: VICTORIOUS, OPPONENT INJURED;;;;;;;;;x
EVTDESC_C_TSK_C_DE.4;DEBUG: DRAW, INCONCLUSIVE RESULTS;;;;;;;;;x
EVTDESC_D_TSK_C_DE.4;DEBUG: DRAW, OPPONENT WOUNDED;;;;;;;;;x
EVTDESC_E_TSK_C_DE.4;DEBGU: DRAW, SELF WOUNDED;;;;;;;;;x
EVTDESC_F_TSK_C_DE.4;DEBUG: DRAW, BOTH WOUNDED;;;;;;;;;x
EVTDESC_G_TSK_C_DE.4;DEBUG: DRAW, OPPONENT KILLED;;;;;;;;;x
EVTDESC_H_TSK_C_DE.4;DEBUG: DRAW, SELF WOUNDED OPPONENT KILLED;;;;;;;;;x
EVTDESC_I_TSK_C_DE.4;DEBUG: DEFEAT, SELF WOUNDED;;;;;;;;;x
EVTDESC_J_TSK_C_DE.4;DEBUG: KILLED DURING DUEL;;;;;;;;;x
#
EVTDESC_TSK_C_DE.1;PER: INITIAL EVENT, CHOOSE TO ENGAGE OR DISENGAGE;;;;;;;;;x
EVTDESC_TSK_C_DE.2;VIC: VICTIM EVENT, CHOOSE FIGHT OR FLIGHT;;;;;;;;;x
EVTDESC_TSK_C_DE.3;PER: EVT3, REFLECT VIC FIGHT OR FLIGHT - Something isn't right with this event. This should be a generated description based on the outcome of the event. [From.GetFirstName] is the opponent. If there is a blank, the scope is broken.;;;;;;;;;x
EVTDESC_TSK_C_DE.4;VIC: EVT4, CALCULATE RESULTS - Something isn't right with this event. This should be a generated description based on the outcome of the event. [From.GetFirstName] is the opponent. If there is a blank, the scope is broken.;;;;;;;;;x
EVTDESC_TSK_C_DE.5;PER: EVT5, CALCULATE RESULTS - Something isn't right with this event. This should be a generated description based on the outcome of the event. [From.GetFirstName] is the opponent. If there is a blank, the scope is broken.;;;;;;;;;x
#
#EVTDESC_TSK_C_DE.1;You find yourself standing amidst your men, the eb and flow of battle pulsating around you. Weapons clash and men scream around you. Then, just ahead of you catch sight of a face you recognise - the enemy commander, [From.GetFirstName]! The advantage is yours - slip behind your men, or charge [From.GetHerHim] with your blade held high!;;;;;;;;;x
EVTOPTA_TSK_C_DE.1;Charge [From.GetHerHim]!;;;;;;;;;x
EVTOPTB_TSK_C_DE.1;Slip behind your lines...;;;;;;;;;x
#EVTDESC_TSK_C_DE.2;You catch sight of [From.GetFirstName] as they charge at you in a flash. With only a few moments to spare, you decide...;;;;;;;;;x
EVTOPTA_TSK_C_DE.2;To fight;;;;;;;;;x
EVTOPTB_TSK_C_DE.2;To try and flee!;;;;;;;;;x
EVTDESCA_TSK_C_DE.3;As you stumble on the corpses of the dead and dying, the gap between you and [From.GetFirstName] begins to grow greater, and in moment your target is lost as they disappear into the chaos.;;;;;;;;;x
EVTDESCB_TSK_C_DE.3;[From.GetFirstName] stumbles and falls upon a blanket of death as they try to flee from you, but in moments it becomes clear that you are soon to be upon them - and so they desperately ready their arms to take you.;;;;;;;;;x
EVTDESCC_TSK_C_DE.3;[From.GetFirstName] catches sight of you, and begins to move towards you, intent on meeting your challenge.;;;;;;;;;x
EVTOPTA_TSK_C_DE.3;So be it.;;;;;;;;;x
EVTDESCA_TSK_C_DE.4;[From.GetSheHe] charged at me. Although blows were exchanged, I realised I had made a mistake when the world started spinning. Broken and bloody, I am sure not to last much longer...;;;;;;;;;x
