freehold_silk_road_favored_status;Request Trade Contract;Demander un contrat commercial;Handelsvertrag anfordern;;Solicitar contrato comercial;;;;;;;;;x
freehold_silk_road_favored_status_modifier_tt;All trade post provinces in the realm of §Y[From.PrimaryTitle.GetName]§! gains §G100%§! increased trade income for 25 years.;Toutes les provinces avec un comptoir en §Y[From.PrimaryTitle.GetName]§! obtiennent §G100%§! d'augmentation des revenus commerciaux pour 25 ans.;Alle Handelsposten im Reich von §Y[From.PrimaryTitle.GetName]§! erhalten für 25 Jahre §G100%§! erhöhtes Handelseinkommen.;;Todas las provincias con puestos comerciales del reino de §Y[From.PrimaryTitle.GetName]§! reciben un aumento de ingresos comerciales del §G100%§! durante 25 años.;;;;;;;;;x
freehold_imperial_trade_contract;Imperial Trade Contract;Contrat commercial impérial;Kaiserlicher Handelsvertrag;;Contrato de comercio imperial;;;;;;;;;x
monthly_grace;Monthly Favor;Grâce mensuelle;Monatliche Gunst;;Gracia mensual;;;;;;;;;x
OFFMAP_GRACE;Favor;Grâce;Gunst;;Gracia;;;;;;;;;x
TXT_GRACE_desc;\nFavor is gained by §YPaying Tribute§! to the current Archon, you can use accumulated Favor to §GAsk for Boons§!. Any Favor you have accumulated will be passed on to your heir during succession.\n§RAll Favor is lost should the Dynasty change in Valyria!§!;\nLa Grâce est obtenue en §Ypayant un tribut§! à l'Empereur actuel. Vous pouvez l'utiliser ensuite pour demander une §Gfaveur§!. Toute la Grâce accumulée sera héritée à la succession.\n§RToute Grâce serait perdue si la dynastie venait à changer en Chine !§!;\nGunst wird durch §YZahlung von Tribut§! an den gegenwärtigen Kaiser gewonnen und wird für das §GAnfordern von Gefallen§! benutzt. Die gesamte angesammelte Gunst, wird bei Erbfolge an den Erben übertragen.\n§RJegliche Gunst geht verloren, wenn sich die herrschende Dynastie Chinas ändert!§!;;\nSe gana gracia §Ypagando tributos§! al Emperador actual. Se puede usar la gracia acumulada solicitando §GRegalos§! Toda la gracia acumulada pasara a nuestro heredero en la sucesión.\n§R¡Si hay un cambio de dinastía en China, se perderá toda la gracia!§!;;;;;;;;;x
OFFMAP_VIEW_BUTTON_INSTANT;$OFFMAP|Y$\nOpen interaction with §Y$OFFMAP_SHORT$ Valyria§!.;$OFFMAP|Y$\nOuvrir l'écran d’interaction avec la §Y$OFFMAP_SHORT$§!.;$OFFMAP|Y$\nInteraktion mit §Y$OFFMAP_SHORT$-China§! öffnen.;;$OFFMAP|Y$\n¡Interacción abierta con §Y$OFFMAP_SHORT$ China§!.;;;;;;;;;x
freehold_grace_doctor;Request Valyrian Physician;Demander un physicien chinois;Chinesischen Arzt anfordern;;Solicitar médico chino;;;;;;;;;x
freehold_grace_doctor_allow_tt;Does NOT have a Court Physician;N'a pas de physicien de la Cour;Hat keinen Hofarzt;;NO tiene médico de la corte;;;;;;;;;x
freehold_grace_send_gift;Send Gift;Envoyer un cadeau;Geschenk senden;;Enviar regalo;;;;;;;;;x
freehold_grace_send_gift_desc;Send a gift of coin to §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;Envoyer un cadeau à l'§Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;Entsendet ein Geschenk aus Münzen an §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!;;Enviar regalo de monedas a §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!;;;;;;;;;x
