ca_culture_iron_islander_1;Ironborn Training Center;;;;;;;;;;;;;x
ca_culture_iron_islander_2;Ironborn Training Center;;;;;;;;;;;;;x
ca_culture_iron_islander_3;Ironborn Training Center;;;;;;;;;;;;;x
ca_culture_iron_islander_4;Ironborn Training Center;;;;;;;;;;;;;x
ca_culture_iron_islander_5;Ironborn Training Center;;;;;;;;;;;;;x
ca_culture_iron_islander_6;Ironborn Training Center;;;;;;;;;;;;;x
ca_culture_iron_islander_7;Ironborn Training Center;;;;;;;;;;;;;x
ca_culture_iron_islander_8;Ironborn Training Center;;;;;;;;;;;;;x
ca_culture_iron_islander_1_desc;A diminutive building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_iron_islander_2_desc;A tiny building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_iron_islander_3_desc;A small building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_iron_islander_4_desc;A medium building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_iron_islander_5_desc;A large building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_iron_islander_6_desc;A huge building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_iron_islander_7_desc;A gargantuan building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_iron_islander_8_desc;A colossal building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_harlawn_1;Harlawn Training Center;;;;;;;;;;;;;x
ca_culture_harlawn_2;Harlawn Training Center;;;;;;;;;;;;;x
ca_culture_harlawn_3;Harlawn Training Center;;;;;;;;;;;;;x
ca_culture_harlawn_4;Harlawn Training Center;;;;;;;;;;;;;x
ca_culture_harlawn_5;Harlawn Training Center;;;;;;;;;;;;;x
ca_culture_harlawn_6;Harlawn Training Center;;;;;;;;;;;;;x
ca_culture_harlawn_7;Harlawn Training Center;;;;;;;;;;;;;x
ca_culture_harlawn_8;Harlawn Training Center;;;;;;;;;;;;;x
ca_culture_harlawn_1_desc;A diminutive building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_harlawn_2_desc;A tiny building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_harlawn_3_desc;A small building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_harlawn_4_desc;A medium building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_harlawn_5_desc;A large building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_harlawn_6_desc;A huge building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_harlawn_7_desc;A gargantuan building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_harlawn_8_desc;A colossal building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_pykem_1;Pykem Training Center;;;;;;;;;;;;;x
ca_culture_pykem_2;Pykem Training Center;;;;;;;;;;;;;x
ca_culture_pykem_3;Pykem Training Center;;;;;;;;;;;;;x
ca_culture_pykem_4;Pykem Training Center;;;;;;;;;;;;;x
ca_culture_pykem_5;Pykem Training Center;;;;;;;;;;;;;x
ca_culture_pykem_6;Pykem Training Center;;;;;;;;;;;;;x
ca_culture_pykem_7;Pykem Training Center;;;;;;;;;;;;;x
ca_culture_pykem_8;Pykem Training Center;;;;;;;;;;;;;x
ca_culture_pykem_1_desc;A diminutive building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_pykem_2_desc;A tiny building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_pykem_3_desc;A small building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_pykem_4_desc;A medium building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_pykem_5_desc;A large building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_pykem_6_desc;A huge building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_pykem_7_desc;A gargantuan building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_pykem_8_desc;A colossal building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_skagosi_1;Skagosi Training Center;;;;;;;;;;;;;x
ca_culture_skagosi_2;Skagosi Training Center;;;;;;;;;;;;;x
ca_culture_skagosi_3;Skagosi Training Center;;;;;;;;;;;;;x
ca_culture_skagosi_4;Skagosi Training Center;;;;;;;;;;;;;x
ca_culture_skagosi_5;Skagosi Training Center;;;;;;;;;;;;;x
ca_culture_skagosi_6;Skagosi Training Center;;;;;;;;;;;;;x
ca_culture_skagosi_7;Skagosi Training Center;;;;;;;;;;;;;x
ca_culture_skagosi_8;Skagosi Training Center;;;;;;;;;;;;;x
ca_culture_skagosi_1_desc;A diminutive building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_skagosi_2_desc;A tiny building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_skagosi_3_desc;A small building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_skagosi_4_desc;A medium building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_skagosi_5_desc;A large building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_skagosi_6_desc;A huge building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_skagosi_7_desc;A gargantuan building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_skagosi_8_desc;A colossal building to make your troops more effective.;;;;;;;;;;;;;x
ca_culture_fairman_1;Fairman Training Center;;;;;;;;;;;;;x
ca_culture_fairman_2;Fairman Training Center;;;;;;;;;;;;;x
ca_culture_fairman_3;Fairman Training Center;;;;;;;;;;;;;x
ca_culture_fairman_4;Fairman Training Center;;;;;;;;;;;;;x
ca_culture_fairman_5;Fairman Training Center;;;;;;;;;;;;;x
ca_culture_fairman_6;Fairman Training Center;;;;;;;;;;;;;x
ca_culture_fairman_7;Fairman Training Center;;;;;;;;;;;;;x
ca_culture_fairman_8;Fairman Training Center;;;;;;;;;;;;;x
ca_culture_fairman_1_desc;A diminutive building to make your troops more effective.;;;;;;;;;;;;;x
