#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;;x
tsk_repay_loan;Repay Loans;;;;;;;;;;;;;x
tsk_request_loan;Request Loan;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
tsk_bank_loan.0002;Inherited Debts;;;;;;;;;;;;;x
EVTDESC_tsk_bank_loan.0002;I have inherited debts from my predecessor - how should I handle them?;;;;;;;;;;;;;x
EVTOPTA_tsk_bank_loan.0002;I will honour these debts;;;;;;;;;;;;;x
EVTOPTB_tsk_bank_loan.0002;I did not take out this loan - refuse to acknowledge it!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
tsk_bank_loan.0003;Take out a loan;;;;;;;;;;;;;x
EVTDESC_tsk_bank_loan.0002;How much of a loan should I take out? Interest payments are around 10% a year until paid off in full.;;;;;;;;;;;;;x
EVTOPTA_tsk_bank_loan.0003;Take a loan of 2000 Gold;;;;;;;;;;;;;x
EVTOPTB_tsk_bank_loan.0003;Take a loan of 1000 Gold;;;;;;;;;;;;;x
EVTOPTC_tsk_bank_loan.0003;Take a loan of 250 Gold;;;;;;;;;;;;;x
EVTOPTD_tsk_bank_loan.0003;Perhaps not..;;;;;;;;;;;;;x
