#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
claim_the_dusklands;Claim the Blackwater;;;;;;;;;;;;;x
claim_the_dusklands_desc;For thousands of years the Blackwater was divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the Blackwater and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;;;;x
claim_dorne;Claim Dorne;;;;;;;;;;;;;x
claim_dorne_desc;For thousands of years Dorne was divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim Dorne and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;;;;x
claim_the_iron_islands;Claim the Iron Islands;;;;;;;;;;;;;x
claim_the_iron_islands_desc;For thousands of years the Iron Islands were divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the Iron Islands and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;;;;x
claim_the_north;Claim the North;;;;;;;;;;;;;x
claim_the_north_desc;For thousands of years the North was divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the North and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;;;;x
claim_the_reach;Claim the Reach;;;;;;;;;;;;;x
claim_the_reach_desc;For thousands of years the Reach was divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the North and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;;;;x
claim_the_riverlands;Claim the Riverlands;;;;;;;;;;;;;x
claim_the_riverlands_desc;For thousands of years the Riverlands were divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the Riverlands and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;;;;x
claim_the_stormlands;Claim the Stormlands;;;;;;;;;;;;;x
claim_the_stormlands_desc;For thousands of years the Stormlands were divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the Stormlands and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;;;;x
claim_the_vale;Claim the Vale;;;;;;;;;;;;;x
claim_the_vale_desc;For thousands of years the Vale was divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the Vale and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;;;;x
claim_the_westerlands;Claim the Westerlands;;;;;;;;;;;;;x
claim_the_westerlands_desc;For thousands of years the Westerlands were divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the Westerlands and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;;;;x
